gazetteerId_村志代码,villageInnerId_村庄内部代码,countyId_县区代码,cityId_市代码,provinceId_省代码
907,907,232.0,147,5
908,908,555.0,114,12
909,909,202.0,7,10
910,910,336.0,187,15
911,911,395.0,111,28
912,912,109.0,163,15
913,913,183.0,209,10
914,914,290.0,153,17
915,915,47.0,153,17
916,916,82.0,194,22
917,917,168.0,131,12
918,918,521.0,54,7
919,919,116.0,4,1
920,920,484.0,4,1
921,921,10.0,8,12
922,922,484.0,4,1
923,923,469.0,191,17
924,924,368.0,3,18
925,925,171.0,133,28
926,926,325.0,7,10
927,927,138.0,4,1
928,928,168.0,131,12
929,929,522.0,133,28
930,930,92.0,138,10
931,931,517.0,116,17
932,932,552.0,86,10
933,933,117.0,78,17
934,934,47.0,153,17
935,935,330.0,101,11
936,936,484.0,4,1
937,937,383.0,186,11
938,938,260.0,95,12
939,939,358.0,106,10
940,940,263.0,125,10
941,941,498.0,4,1
942,942,339.0,142,10
943,943,163.0,87,11
944,944,318.0,206,11
945,945,346.0,55,11
946,946,334.0,4,1
947,947,265.0,27,4
949,949,472.0,138,10
950,950,112.0,129,10
951,951,413.0,10,11
952,952,548.0,206,11
953,953,342.0,167,24
954,954,97.0,124,10
955,955,168.0,131,12
956,956,548.0,206,11
957,957,531.0,101,11
958,958,163.0,87,11
959,959,6.0,6,12
960,960,419.0,76,12
961,961,276.0,153,17
962,962,133.0,76,12
963,963,496.0,178,18
964,964,286.0,111,28
965,965,115.0,22,18
966,966,531.0,101,11
967,967,157.0,61,18
968,968,103.0,133,28
969,969,511.0,177,28
970,970,490.0,134,15
971,971,411.0,111,28
972,972,503.0,101,10
974,974,109.0,163,15
975,975,474.0,193,18
976,976,79.0,97,18
977,977,255.0,27,4
978,978,265.0,27,4
979,979,13.0,27,4
980,980,13.0,27,4
981,981,262.0,172,17
982,982,230.0,27,4
983,983,252.0,163,15
984,984,506.0,192,22
986,986,275.0,142,10
987,987,223.0,98,15
988,988,79.0,97,18
989,989,484.0,4,1
990,990,497.0,27,4
991,991,210.0,163,15
992,992,64.0,153,17
993,993,2.0,219,24
994,994,272.0,64,21
995,995,486.0,193,18
996,996,128.0,161,6
997,997,532.0,193,18
998,998,361.0,139,10
999,999,181.0,214,9
1000,1000,532.0,193,18
1002,1002,469.0,191,17
1003,1003,79.0,97,18
1004,1004,533.0,29,15
1005,1005,212.0,91,6
1006,1006,156.0,36,16
1007,1007,238.0,96,2
1008,1008,539.0,153,17
1009,1009,104.0,123,18
1010,1010,405.0,193,18
1011,1011,414.0,123,18
1012,1012,109.0,163,15
1013,1013,324.0,116,17
1014,1014,356.0,88,22
1015,1015,474.0,193,18
1016,1016,248.0,192,22
1017,1017,109.0,163,15
1018,1018,248.0,192,22
1019,1019,343.0,129,10
1020,1020,149.0,120,10
1021,1021,514.0,23,9
1022,1022,539.0,153,17
1023,1023,129.0,51,2
1024,1024,210.0,163,15
1025,1025,218.0,27,4
1026,1026,538.0,153,17
1027,1027,412.0,66,9
1028,1028,543.0,76,12
1030,1030,210.0,163,15
1031,1031,344.0,212,18
1032,1032,210.0,163,15
1033,1033,123.0,76,12
1034,1034,539.0,153,17
1035,1035,183.0,209,10
1036,1036,484.0,4,1
1037,1037,161.0,99,2
1038,1038,524.0,20,17
1039,1039,496.0,178,18
1040,1040,109.0,163,15
1041,1041,265.0,27,4
1042,1042,413.0,10,11
1043,1043,265.0,27,4
1044,1044,6.0,6,12
1045,1045,495.0,208,11
1046,1046,484.0,4,1
1047,1047,199.0,100,11
1048,1048,442.0,10,11
1049,1049,484.0,4,1
1050,1050,218.0,27,4
1051,1051,49.0,40,11
1052,1052,484.0,4,1
1053,1053,265.0,27,4
1054,1054,334.0,4,1
1055,1055,334.0,4,1
1056,1056,484.0,4,1
1057,1057,60.0,10,11
1058,1058,126.0,78,17
1059,1059,502.0,81,17
1060,1060,133.0,76,12
1061,1061,133.0,76,12
1062,1062,315.0,10,11
1063,1063,60.0,10,11
1064,1064,539.0,153,17
1065,1065,47.0,153,17
1066,1066,6.0,6,12
1067,1067,539.0,153,17
1068,1068,534.0,20,17
1069,1069,290.0,153,17
1070,1070,133.0,76,12
1071,1071,382.0,116,17
1073,1073,201.0,190,17
1074,1074,217.0,160,12
1075,1075,13.0,27,4
1076,1076,324.0,93,17
1077,1077,474.0,193,18
1078,1078,109.0,163,15
1079,1079,9.0,193,18
1080,1080,109.0,163,15
1081,1081,386.0,163,15
1082,1082,9.0,193,18
1083,1083,308.0,73,18
1084,1084,314.0,61,18
1085,1085,182.0,212,18
1086,1086,175.0,139,10
1087,1087,177.0,55,11
1088,1088,183.0,209,10
1089,1089,216.0,86,10
1090,1090,449.0,139,10
1091,1091,491.0,97,18
1093,1093,358.0,106,10
1094,1094,360.0,98,15
1095,1095,210.0,163,15
1096,1096,210.0,163,15
1097,1097,39.0,193,18
1098,1098,339.0,142,10
1099,1099,210.0,163,15
1100,1100,94.0,3,18
1101,1101,267.0,209,10
1102,1102,110.0,163,15
1103,1103,295.0,71,15
1104,1104,252.0,163,15
1105,1105,492.0,206,11
1106,1106,256.0,100,11
1107,1107,44.0,87,11
1108,1108,381.0,208,11
1109,1109,504.0,49,11
1110,1110,195.0,208,11
1111,1111,60.0,10,11
1112,1112,317.0,101,11
1113,1113,330.0,101,11
1114,1114,406.0,87,11
1115,1115,442.0,10,11
1116,1116,56.0,125,10
1117,1117,538.0,153,17
1118,1118,117.0,78,17
1119,1119,255.0,27,4
1120,1120,429.0,142,10
1124,1124,125.0,27,4
1125,1125,125.0,27,4
1126,1126,333.0,126,18
1127,1127,532.0,193,18
1128,1128,308.0,73,18
1129,1129,223.0,98,15
1130,1130,539.0,153,17
1131,1131,484.0,4,1
1132,1132,346.0,55,11
1133,1133,362.0,206,11
1134,1134,180.0,10,11
1135,1135,548.0,206,11
1136,1136,450.0,157,19
1137,1137,370.0,100,11
1138,1138,380.0,76,12
1139,1139,294.0,213,21
1140,1140,224.0,193,18
1141,1141,337.0,27,4
1142,1142,497.0,27,4
1143,1143,475.0,168,10
1144,1144,357.0,61,18
1145,1145,291.0,206,11
1146,1146,531.0,101,11
1147,1147,505.0,3,18
1148,1148,531.0,101,11
1149,1149,90.0,18,12
1150,1150,43.0,109,12
1151,1151,392.0,34,18
1152,1152,28.0,203,15
1153,1153,324.0,116,17
1154,1154,224.0,193,18
1155,1155,94.0,3,18
1156,1156,555.0,118,12
1157,1157,94.0,3,18
1158,1158,125.0,27,4
1159,1159,363.0,133,28
1160,1160,147.0,59,19
1161,1161,464.0,14,19
1162,1162,451.0,59,19
1163,1163,151.0,134,19
1164,1164,331.0,132,19
1165,1165,359.0,105,19
1166,1166,450.0,157,19
1167,1167,410.0,134,19
1168,1168,235.0,105,19
1169,1169,147.0,59,19
1170,1170,20.0,105,19
1171,1171,175.0,139,10
1172,1172,151.0,134,19
1173,1173,57.0,59,19
1174,1174,480.0,59,19
1175,1175,58.0,105,19
1176,1176,253.0,139,10
1177,1177,234.0,142,10
1178,1178,429.0,142,10
1179,1179,92.0,138,10
1180,1180,183.0,209,10
1181,1181,183.0,209,10
1182,1182,103.0,133,28
1183,1183,395.0,111,28
1184,1184,482.0,65,28
1185,1185,493.0,142,10
1186,1186,203.0,111,28
1187,1187,97.0,124,10
1188,1188,430.0,209,10
1190,1190,229.0,177,28
1191,1191,436.0,177,28
1192,1192,165.0,199,28
1193,1193,350.0,46,28
1195,1195,410.0,157,19
1196,1196,13.0,27,4
1197,1197,265.0,27,4
1198,1198,265.0,27,4
1199,1199,255.0,27,4
1200,1200,13.0,27,4
